Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Audit ID,Department,Region,Control Score,Compliance Status,Auditor Name,Audit Date,Violations Count
Operational Risk,Internal Audit Operations,Control Monitoring,Enforce Segregation of Duties,Monitor,Compliance Data,Assess Controls,04ef8ca7-6fc1-4cb4-a455-b4396ce2cf4e,Finance,APAC,50.84,Pending Review,David Lee,2025-06-17,8
Risk Management,Internal Audit Operations,Control Monitoring,Assess Risk Controls,Monitor,Control Data,Review Findings,0efee844-11a1-40eb-aecb-19f64c25d853,HR,Americas,56.73,Non-Compliant,Mark Sanchez,2025-02-10,7
Operational Risk,Control Management,Control Monitoring,Enforce Segregation of Duties,Monitor,Audit Data,Assess Controls,24ef9299-1e32-4a7f-9211-82b9be8c174c,Compliance,APAC,60.28,Compliant,Stacey Rodriguez,2025-02-04,10
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Assess Risk Controls,Monitor,Audit Data,Review Findings,ad7ed53e-2f2d-423d-8107-d079b5466e80,Finance,APAC,82.39,Non-Compliant,Jason Allen,2025-03-16,2
Operational Risk,Risk and Compliance Operations,Control Monitoring,Review Audit Findings,Compliance Oversight,Compliance Data,Review Findings,9946a7a7-3cc0-434b-95f7-b06c354b3e71,Finance,APAC,55.41,Non-Compliant,Tracey Perez,2025-03-23,4
Financial Control,Risk and Compliance Operations,Internal Audit and Controls,Review Audit Findings,Compliance Oversight,Control Data,Enforce Segregation of Duties,5a84513c-38f3-4697-837d-05a5f797c1e0,Operations,EMEA,94.51,Non-Compliant,Jeffrey Gutierrez,2025-09-30,8
Operational Risk,Control Management,Internal Audit and Controls,Review Audit Findings,Compliance Oversight,Control Data,Review Findings,3faa10ff-9106-4541-91d6-6bc19390cf9b,Operations,EMEA,64.78,Pending Review,David King,2025-09-24,3
Operational Risk,Risk and Compliance Operations,Audit Reporting,Assess Risk Controls,Monitor,Compliance Data,Review Findings,967bf783-ccfa-4cf1-9fe6-159234abdf5f,Operations,EMEA,56.62,Escalated,Natalie Schroeder,2025-09-22,3
Operational Risk,Internal Audit Operations,Audit Reporting,Review Audit Findings,Security Value,Audit Data,Enforce Segregation of Duties,b7d8d488-8a2a-4e09-8b29-fed474b38067,Compliance,EMEA,79.47,Escalated,Kevin Jackson,2025-01-26,4
Risk Management,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Security Value,Audit Data,Assess Controls,1e0f8efd-ea6d-41f3-a2cf-44f59a53473e,HR,Americas,97.96,Compliant,Miguel Clark,2025-05-10,1
Risk Management,Control Management,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Audit Data,Assess Controls,841d8c4e-42ac-4d24-83ff-90c215caca5b,Finance,EMEA,73.56,Escalated,Jose Gray,2025-10-09,0
Risk Management,Risk and Compliance Operations,Audit Reporting,Enforce Segregation of Duties,Compliance Oversight,Compliance Data,Review Findings,0466857c-4b87-4d2a-86dc-d1e5fad1108d,IT,APAC,80.16,Escalated,Richard Young,2025-02-21,5
Financial Control,Risk and Compliance Operations,Control Monitoring,Assess Risk Controls,Security Value,Compliance Data,Assess Controls,1db50db0-2a57-40be-9033-b770d8e0c5b9,Operations,APAC,78.39,Non-Compliant,Michael Kemp,2025-05-19,3
Financial Control,Internal Audit Operations,Audit Reporting,Review Audit Findings,Compliance Oversight,Audit Data,Review Findings,0d9f97e8-1a46-4da0-ad1d-19d1baa668a9,IT,APAC,64.47,Pending Review,Lisa Elliott,2025-07-05,3
Operational Risk,Control Management,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Compliance Data,Assess Controls,0259d0fe-5ab4-49b7-b304-6e92acd3fd79,IT,Americas,83.85,Compliant,Donald Jackson,2025-08-27,6
Financial Control,Internal Audit Operations,Control Monitoring,Assess Risk Controls,Security Value,Control Data,Review Findings,3cf071cb-d8b4-481c-8d3e-ae65496f6ef7,Operations,Americas,90.65,Compliant,Dalton Mason,2025-01-28,7
Risk Management,Risk and Compliance Operations,Control Monitoring,Assess Risk Controls,Security Value,Compliance Data,Review Findings,293ba4c7-85df-41c0-9840-642af866d459,IT,APAC,85.55,Compliant,Krystal Jones,2025-10-11,7
Risk Management,Risk and Compliance Operations,Control Monitoring,Enforce Segregation of Duties,Compliance Oversight,Compliance Data,Enforce Segregation of Duties,18d71efe-78d5-4edb-8e62-124218f283bb,Compliance,APAC,54.5,Pending Review,Steven Dunn,2025-03-29,9
Operational Risk,Control Management,Audit Reporting,Enforce Segregation of Duties,Monitor,Audit Data,Review Findings,0f76ee23-a2ed-468e-b9d0-a62a47ce1283,IT,Americas,90.0,Pending Review,Cindy Ramirez,2025-09-11,9
Risk Management,Risk and Compliance Operations,Control Monitoring,Enforce Segregation of Duties,Compliance Oversight,Control Data,Review Findings,267425fc-74a3-43b3-a1d9-9deaa6b35861,Compliance,APAC,68.67,Escalated,Dawn Avila,2025-03-13,0
Financial Control,Control Management,Control Monitoring,Enforce Segregation of Duties,Compliance Oversight,Control Data,Enforce Segregation of Duties,1c7eaa3c-d122-45e2-919a-7a8cddab6b85,Operations,Americas,77.91,Non-Compliant,Miguel Donovan,2025-06-18,9
Operational Risk,Risk and Compliance Operations,Control Monitoring,Enforce Segregation of Duties,Monitor,Compliance Data,Review Findings,99211d70-d4e5-4547-9a0a-269f043a4710,HR,APAC,94.92,Compliant,Justin Chavez,2025-07-30,1
Operational Risk,Internal Audit Operations,Control Monitoring,Enforce Segregation of Duties,Compliance Oversight,Control Data,Review Findings,bae77306-c39d-4c17-84d2-e4c0fbf6ed4d,HR,APAC,92.04,Escalated,Angela Michael,2025-07-03,5
Financial Control,Internal Audit Operations,Audit Reporting,Review Audit Findings,Compliance Oversight,Audit Data,Review Findings,605d21fa-e722-4834-b604-057f967148f8,Finance,APAC,78.88,Pending Review,Tammy Mason,2025-02-23,5
Financial Control,Internal Audit Operations,Internal Audit and Controls,Review Audit Findings,Compliance Oversight,Compliance Data,Assess Controls,156ab724-4037-4b76-a188-797a6d3fdb92,Compliance,Americas,78.31,Pending Review,Taylor Dean,2025-05-08,6
Risk Management,Risk and Compliance Operations,Internal Audit and Controls,Review Audit Findings,Security Value,Audit Data,Assess Controls,d8aab065-3572-4706-a714-5d7673e683a1,Finance,Americas,72.3,Escalated,Robert Gomez,2025-08-17,3
Risk Management,Control Management,Audit Reporting,Enforce Segregation of Duties,Compliance Oversight,Audit Data,Enforce Segregation of Duties,2b3eba7f-51e9-46ab-b2bf-30d82d1c4268,IT,Americas,59.67,Non-Compliant,Sierra Lucero,2025-07-22,2
Risk Management,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Compliance Oversight,Audit Data,Assess Controls,ba168111-774a-4a96-ac61-9ba6beefc31e,Operations,Americas,83.06,Pending Review,Kristin Aguilar,2025-08-11,7
Risk Management,Control Management,Control Monitoring,Assess Risk Controls,Compliance Oversight,Control Data,Enforce Segregation of Duties,3793306a-7141-4892-9f0c-683181b25c72,Finance,APAC,67.38,Pending Review,Benjamin Walker,2025-04-01,5
Operational Risk,Internal Audit Operations,Internal Audit and Controls,Review Audit Findings,Compliance Oversight,Control Data,Review Findings,3124da15-af8f-44d7-9c56-8775512b4fc0,Operations,Americas,71.0,Escalated,Andrew Phillips,2025-05-09,5
Financial Control,Internal Audit Operations,Control Monitoring,Enforce Segregation of Duties,Monitor,Compliance Data,Assess Controls,6de26c21-419c-4ae3-a40d-b39b5e228966,Finance,Americas,73.35,Compliant,Timothy Edwards,2025-09-24,9
Financial Control,Risk and Compliance Operations,Internal Audit and Controls,Assess Risk Controls,Security Value,Control Data,Review Findings,90c0d140-c76f-4612-adf7-009605cbaf07,IT,EMEA,77.02,Pending Review,Anna Page,2025-04-19,1
Risk Management,Control Management,Control Monitoring,Enforce Segregation of Duties,Security Value,Compliance Data,Enforce Segregation of Duties,c824567f-f10b-49fa-9294-5c40fdf25c21,Operations,Americas,85.3,Pending Review,Steven Ford,2025-03-27,4
Operational Risk,Control Management,Control Monitoring,Enforce Segregation of Duties,Compliance Oversight,Control Data,Enforce Segregation of Duties,5398c2f6-8f4c-4560-b214-6432b7371adb,Finance,Americas,88.69,Compliant,Randy Moody,2025-07-22,6
Financial Control,Internal Audit Operations,Control Monitoring,Assess Risk Controls,Security Value,Compliance Data,Enforce Segregation of Duties,1dd921ac-6284-4856-b018-f84c78972e88,Finance,EMEA,74.5,Non-Compliant,Tina Davis,2025-02-19,2
